"blueWins","blueKills","blueDeaths","blueAssists","blueEliteMonsters","blueTowersDestroyed","blueTotalGold","blueAvgLevel","blueGoldDiff","blueExperienceDiff","blueCSPerMin","blueGoldPerMin","redKills","redDeaths","redAssists","redEliteMonsters","redTowersDestroyed","redTotalGold","redAvgLevel","redGoldDiff","redExperienceDiff","redCSPerMin","redGoldPerMin"
0,9,6,11,0,0,17210,6.6,643,-8,19.5,1721,6,9,8,0,0,16567,6.8,-643,8,19.7,1656.7
0,5,5,5,0,0,14712,6.6,-2908,-1173,17.4,1471.2,5,5,2,2,0,17620,6.8,2908,1173,24,1762
0,7,11,4,1,0,16113,6.4,-1172,-1033,18.6,1611.3,11,7,14,0,0,17285,6.8,1172,1033,20.3,1728.5
0,4,5,5,1,0,15157,7,-1321,-7,20.1,1515.7,5,4,10,0,0,16478,7,1321,7,23.5,1647.8
0,6,6,6,0,0,16400,7,-1004,230,21,1640,6,6,7,1,0,17404,7,1004,-230,22.5,1740.4
1,5,3,6,1,0,15899,7,698,101,22.5,1589.9,3,5,2,0,0,15201,7,-698,-101,22.1,1520.1
1,7,6,7,1,0,16874,6.8,2411,1563,22.5,1687.4,6,7,9,0,0,14463,6.4,-2411,-1563,16.4,1446.3
0,5,13,3,0,0,15305,6.4,-2615,-800,20.9,1530.5,13,5,11,1,0,17920,6.6,2615,800,21.8,1792
0,7,7,8,0,0,16401,7.2,-1979,-771,18.9,1640.1,7,7,5,2,0,18380,7.2,1979,771,24,1838
1,4,5,5,1,0,15057,6.8,-1548,-1574,22,1505.7,5,4,4,0,0,16605,6.8,1548,1574,24.7,1660.5
0,4,4,6,0,0,15474,6.6,331,-1585,23.1,1547.4,4,4,5,1,0,15143,7.2,-331,1585,21.6,1514.3
0,11,11,7,1,0,16695,7,-1505,-635,15.7,1669.5,11,11,9,0,0,18200,7,1505,635,18.8,1820
1,7,1,11,1,0,17865,7.4,3274,1659,23.8,1786.5,1,7,1,0,0,14591,6.8,-3274,-1659,24,1459.1
0,4,9,1,1,0,14979,6.6,-3414,-1141,21,1497.9,9,4,11,0,0,18393,7.2,3414,1141,22.9,1839.3
1,4,4,4,0,0,15722,6.8,-470,-187,22.4,1572.2,4,4,3,0,0,16192,7,470,187,24.2,1619.2
0,3,7,3,0,0,15015,6.8,-1996,-1804,20.9,1501.5,7,3,13,0,0,17011,7.2,1996,1804,23.7,1701.1
1,10,2,8,0,0,19733,7.6,5228,3378,26.3,1973.3,2,10,2,1,0,14505,6.8,-5228,-3378,21,1450.5
0,3,7,3,1,0,14852,6.8,-1975,-1345,20.3,1485.2,7,3,6,0,0,16827,6.8,1975,1345,21.8,1682.7
1,5,4,11,0,0,16282,6.8,882,512,21.3,1628.2,4,5,3,2,0,15400,6.6,-882,-512,22.8,1540
0,5,9,5,0,0,14994,7,-3155,-2773,18.8,1499.4,9,5,9,0,0,18149,7.4,3155,2773,21.9,1814.9
